"Dizi Adi","Baslangic Yili","Ortalama Suresi","Yayinci Kuruluslar","Yapim sirketi","Yapimci","Senarist","Yonetmen","Oyuncu1puan","Oyuncu2puan","Oyuncu3puan","Turler","Bitis Yili","Sezon Sayisi","Yayinlanan bolum sayisi","ihrac durumu","Basari"
"Avrupa Avrupa","2011","100","TRT 1","Mia Yapim","Banu Akdeniz","Fethi Kantarci","Safak Bal","75","75","80","Komedi","2013","3","91","1","7"
"Muhtesem Yuzyil","2011","100","Show Tv","Tims Productions","Timur Savci","Meral Okay","Taylan Biraderler","85","80","95","Tarih","2014","4","139","0","7"
"Umutsuz Ev Kadinlari","2011","100","Kanal D","Med  Yapim","Fatih Aksoy","Meryem Gur","Ozlem Baysu unlu","85","70","85","Komedi","2014","3","154","0","7"
"Pis Yedili","2011","120","Show Tv","TukenmezKalem Film","Gani Mujde","Tufan Karakose","Suleyman Celik","85","75","80","Genclik","2014","3","120","1","7"
"Firar","2011","90","Star Tv","Koliba Film","Ata Turkoglu","Ozan Yurdakul","Cemal San","55","60","40","Aksiyon","2012","1","35","1","5"
"Tovbeler Tovbesi","2011","90","ATV","Limon Film","Hayri Aslan","Zulkuf Yucel","Aydin Bulut","60","60","65","Romantik komedi","2012","2","37","1","6"
"Kesanli Ali Destani","2011","110","Kanal D","D Productions","Ayse Durmaz","Ozen Yula","Cagan Irmak","50","35","30","Dram","2012","1","13","1","2"
"Isler Gucler","2012","90","Star Tv","Limon Production","Hayri Aslan","Selcuk Aydemir","Selcuk Aydemir","55","60","40","Komedi","2013","1","41","1","5"
"Suskunlar","2012","90","Show Tv","Tims Productions","Timur Savci","Pinar Bulut","Cagatay Tosun","65","65","70","Dram","2012","2","28","0","6"
"Karadayi","2012","120","ATV","Ay Yapim","Kerem Catay","Sema Ergenekon","Uluc Bayraktar","90","80","65","Dram","2015","3","122","0","7"
"Seksenler","2012","120","TRT 1","Mint Film","Birol Guven","Birol Guven","Birol Guven","90","90","90","Komedi","2017","6","337","1","7"
"Kayip sehir","2012","90","Kanal D","D Productions","Ayse Durmaz","Yelda Eroglu","Cevdet Mercan","70","80","40","Dram","2012","1","26","1","5"
"Benim Icin uzulme","2012","90","Show Tv","Boyut Film","Murat Tokat","Mahsun Kirmizigul","Serkan Birinci","70","65","60","Dram","2014","2","55","0","6"
"Ucurum","2012","90","ATV","Surec Film","Ali Gundogdu","Kerem Deren","Cem Karci","70","60","60","Dram","2012","2","24","1","6"
"Ustura Kemal","2012","90","Show Tv","Surec Film","Ali Gundogdu","Baykut Badem","Mustafa Sevki Dogan","90","45","30","Dram","2012","1","12","1","2"
"Kotu Yol","2012","120","Kanal D","Gold Film","Faruk Turgut","Zulkuf Yucel","Nisan Akman","80","70","25","Dram","2012","1","13","1","3"
"Krem","2012","90","ATV","Bando Yapim","Melda Perahya","Askim Ozbek","Oguzhan Tercan","60","35","35","Komedi","2013","1","24","1","5"
"Huzur Sokagi","2012","120","ATV","Set Film","Tayfun Dincer","Funda Cetin","Senol Sonmez","80","80","80","Dram","2014","2","67","1","6"
"Son","2012","90","ATV","Ay Yapim","Kerem Catay","Berkun Oya","Uluc Bayraktar","85","75","60","Dram","2012","1","25","0","5"
"Zengin Kiz Fakir Oglan","2012","120","TRT 1","Mint Film","Birol Guven","Caner Guler","Hasan Tolga Pulat","90","85","85","Komedi","2015","4","222","1","7"
"Sudan Bikmis Baliklar","2012","120","Star Tv","Focus Film","Nilgun Sagyasar","Eylem Akin","Cevriye Demir","30","35","25","Komedi","2012","1","11","1","2"
"Eve Dusen Yildirim","2012","120","Show Tv","Med Yapim","Fatih Aksoy","Meryem Gul","Bahadir Er","40","60","40","Dram","2012","1","22","1","4"
"Yalan Dunya","2012","120","Kanal D","D Productions","Ayse Durmaz","Gulse Birsel","Jale Atabey ozberk","85","90","90","Komedi","2014","4","90","1","7"
"Medcezir","2013","120","Star Tv","Ay Yapim","Kerem Catay","Ece Yorenc","Ali Bilgin","85","70","65","Genclik","2015","2","77","0","6"
"Kacak","2013","100","ATV","Surec Film","Ali Gundogdu","Zulkuf Yucel","Ahmet Volkan Kocaturk","85","65","60","Polisiye","2015","2","52","1","6"
"Tatar Ramazan","2013","100","ATV","TMC Film","Erol Avci","Can Sinan","Cevdet Mercan","70","60","65","Tarih","2014","2","26","0","6"
"Doksanlar","2013","100","ATV","Mint Yapim","Birol Guven","Birol Guven","Mufit Can Sacinti","40","40","45","Komedi","2014","1","43","1","5"
"Sana Bir Sir Verecegim","2013","90","Fox Tv","Scor Film","Selim Erkul","Ethem Ozisik","Cevriye Demir","40","60","50","Genclik","2014","1","29","1","5"
"Gunesi Beklerken","2013","120","Kanal D","D Productions","Ayse Durmaz","Deniz Dargi","Altan Donmez","55","50","45","Genclik","2014","1","54","1","5"
"Beni Boyle Sev","2013","110","TRT 1","BSK Yapim","Cagri Binguller","Hakan Haksun","Cem Tabak","90","75","75","Romantik komedi","2015","3","89","1","7"
"Fatih Harbiye","2013","120","Show Tv","Koliba Film","Ata Turkoglu","Hayriye Ersoz","Sadullah Celen","75","60","65","Dram","2014","2","50","1","6"
"Aldirma Gonul","2013","90","ATV","BKM","Necati Akpinar","Meric Demiray","Hakan Algul","30","25","20","Komedi","2014","1","9","1","2"
"Karagul","2013","140","Fox Tv","Avsar Film","Sukru Avsar","Sema Ergenekon","Murat Saracoglu","80","90","90","Dram","2016","4","125","0","7"
"Galip Dervis","2013","70","Kanal D","Barakuda Film","Ahmet Kayimtu","Andy Breckman","Baris Pirhasan","85","75","75","Polisiye","2014","3","56","1","7"
"Ben de ozledim","2013","70","Star Tv","Eflatun Film","Orkun Unlu","Burak Aksak","Onur Unlu","85","35","35","Komedi","2014","1","13","1","3"
"Calikusu","2013","100","Kanal D","Tims Productions","Timur Savci","Sevgi Yilmaz","Dogan Umit Karaca","85","80","65","Ask","2014","1","30","0","5"
"Guzel Cirkin","2013","90","Kanal D","Erler Film","Ilker Inanoglu","Ruya Iscileri","Kemal Uzun","30","60","25","Polisiye","2013","1","13","1","3"
"Merhamet","2013","95","Kanal D","Most Production","Gul Oguz","Mahinur Ergun","Cagatay Tosun","60","70","65","Dram","2014","2","44","0","6"
"Kardes Payi","2014","60","Star Tv","NTC Medya","Mehmet Yigit Alp","Selcuk Aydemir","Selcuk Aydemir","55","60","35","Komedi","2015","2","35","1","6"
"Dirilis Ertugrul","2014","60","TRT 1","Tekden Film","Mehmet Bozdag","Mehmet Bozdag","Metin Gunay","85","70","90","Tarih","2020","6","150","0","7"
"Poyraz Karayel","2014","120","Kanal D","Limon Production","Hayri Aslan","Ethem Ozisik","Cagri Vila Lostuvali","90","80","90","Dram","2017","4","82","1","7"
"Kara Para Ask","2014","120","ATV","Ay Yapim","Kerem Catay","Sema Ergenekon","Ahmet Katiksiz","70","80","80","Dram","2015","2","54","0","6"
"Filinta","2014","120","TRT 1","ES Film","Bulent Turgut","Altug Kucuk","Kudret Sabanci","65","65","70","Tarih","2016","2","56","0","6"
"Kacak Gelinler","2014","90","Star Tv","NTC Medya","Mehmet Yigit Alp","Engin Elgun","Kerem Cakiroglu","65","65","45","Komedi","2015","1","29","1","5"
"Kurt Seyit ve Sura","2014","90","Star Tv","Ay Yapim","Kerem Catay","Ece Yorenc","Hilal Saral","90","65","55","Tarih","2014","2","21","1","6"
"Benim Adim Gultepe","2014","120","Kanal D","D Productions","Ayse Durmaz","Vural Yasaroglu","Zeynep Gunay Tan","70","25","20","Dram","2014","1","8","1","2"
"Kucuk Aga","2014","120","Kanal D","Erler Film","Turker Inanoglu","Sinan Yurdakul","Aysun Akyuz","85","80","70","Komedi","2015","2","50","1","6"
"Gullerin Savasi","2014","120","Kanal D","Med Yapim","Fatih Aksoy","Funda Cetin","Merve Girgin","65","65","60","Dram","2016","2","68","0","6"
"Ulan Istanbul","2014","120","Kanal D","D Productions","Ayse Durmaz","Ugras Gunes","Murat Onbul","40","60","45","Komedi","2015","1","39","1","5"
"Bana Artik Hicran De","2014","120","Kanal D","Surec Film","Ali Gundogdu","Coskun Irmak","Volkan Kocaturk","65","30","70","Dram","2014","1","4","1","1"
"Kizilelma","2014","120","TRT 1","Sinegraf","Osman Sinav","Suleyman Cobanoglu","Mustafa Sevki Dogan","60","70","60","Aksiyon","2014","2","28","1","6"
"Gunahkar","2014","100","Fox Tv","MF Yapim","Fatih Aksoy","Makbule Kosif","Baris Yos","40","30","20","Dram","2014","1","7","1","2"
"Yedi Guzel Adam","2014","90","TRT 1","Pusula Film","Ilksen Firat","Silan Avci","Levent Demirkale","65","60","60","Dram","2015","2","39","1","6"
"Guzel Koylu","2014","120","Star Tv","Gold Film","Faruk Turgut","Baykut Badem","Mustafa Sevki Dogan","40","45","50","Komedi","2015","1","52","1","5"
"Paramparca","2014","120","Star Tv","Endemol Shine","Gokhan Tatarer","Yildiz Tunc","Cevdet Mercan","70","85","85","Dram","2017","3","97","0","7"
"Asktan Kacilmaz","2014","120","Star Tv","Erler Film","Turker Inanoglu","Mahinur Ergun","Metin Balekoglu","60","65","25","Dram","2014","1","11","1","2"
"Kiraz Mevsimi","2014","120","Fox Tv","Surec Film","Ali Gundogdu","Makbule Kosif","Filiz Gulmez Pakman","60","65","60","Romantik","2015","2","59","0","6"
"Kocamin Ailesi","2014","120","Fox Tv","Mia Yapim","Banu Akdeniz","Nuray Uslu","Safak Bal","65","75","70","Komedi","2015","2","57","1","6"
"O Hayat Benim","2014","120","Fox Tv","Pastel Film","Yasar Irvul","Yelda Eroglu","Merve Girgin","90","70","90","Dram","2017","4","131","1","7"
"Eskiya Dunyaya Hukumdar Olmaz","2015","120","ATV","Pana Film","Raci Sasmaz","Raci Sasmaz","Onur Tan","90","90","90","Aksiyon","2019","4","130","1","7"
"Inadina Ask","2015","120","Fox Tv","Sinegraf","Osman Sinav","Ferda Eryilmaz","Osman Sinav","55","45","40","Romantik komedi","2016","1","32","1","5"
"Kara Sevda","2015","140","Star Tv","Ay Yapim","Kerem Catay","Hilal Saral","Hilal Saral","75","80","60","Dram","2017","2","74","0","6"
"Kirgin Cicekler","2015","140","ATV","NTC Medya","Mehmet Yigit Alp","Gul Abus Semerci","Serkan Birinci","75","80","75","Dram","2018","3","113","1","7"
"Poyraz Karayel","2015","100","Kanal D","Limon Film","Hayri Aslan","Ethem Ozisik","Osman Tasci","80","90","90","Polisiye","2017","3","82","1","7"
"Muhtesem Yuzyil  Kosem","2015","125","Star Tv","Tims Productions","Timur Savci","Yilmaz Sahin","Cagatay Tosun","90","65","60","Tarih","2017","2","60","0","6"
"Kiralik Ask","2015","120","Star Tv","Ortaks Yapim","Muge Turali Pak","Meric Acemi","Metin Balekoglu","70","65","65","Romantik komedi","2017","2","69","0","6"
"Adi Mutluluk","2015","100","Fox Tv","Surec Film","Ali Gundogdu","Hakan Bonomo","Ersoy Ozlevi","35","60","25","Genclik","2015","1","17","1","3"
"Asla Vazgecmem","2015","120","Show Tv","Gold Film","Faruk Turgut","Sirma Yanik","Nihat Durak","85","70","80","Ask","2016","3","59","0","7"
"Analar ve Anneler","2015","100","Kanal D","Ay Yapim","Kerem Catay","Onur Unlu","Onur Unlu","35","35","25","Komedi","2015","1","13","1","2"
"Bes Kardes","2015","90","ATV","Ay Yapim","Kerem Catay","Berkun Oya","Mehmet Ada Oztekin","55","60","70","Dram","2015","1","9","1","2"
"Tatli Intikam","2016","120","Kanal D","D Productions","Ayse Durmaz","Pinar Ordu Arslan","Baris Ercetin","55","50","40","Komedi","2016","1","30","0","5"
"Icerde","2016","120","Show Tv","Ay Yapim","Kerem Catay","Ertan Kurtulan","Uluc Bayraktar","70","85","65","Aksiyon","2017","1","39","0","5"
"Hayat Sarkisi","2016","120","Kanal D","Most Production","Gul Oguz","Jung Ha-Yeon","Cem Karci","60","65","55","Dram","2017","2","57","0","6"
"Payitaht Abdulhamid","2016","120","TRT 1","ES Film","Bulent Turgut","Osman Bodur","Serdar Akar","85","75","85","Tarih","2020","3","83","1","7"
"Kis Gunesi","2016","120","Show Tv","Endemol Shine","Gokhan Tatarer","Ayca Mutlugil","Murat Onbul","40","45","70","Dram","2016","1","19","0","4"
"Vatanim Sensin","2016","120","Kanal D","O3 Medya","Nermin Eroglu","Necati Sahin","Yagmur Taylan","85","80","60","Tarih","2018","2","59","0","6"
"Cesur ve Guzel","2016","120","Star Tv","Ay Yapim","Kerem Catay","Ece Yorenc","Ali Bilgin","90","80","35","Dram","2017","1","32","0","5"
"Bodrum Masali","2016","120","Kanal D","TMC","Erol Avci","Basar Basaran","Mehmet Ada Oztekin","60","50","50","Romantik","2017","1","42","0","5"
"Ask Laftan Anlamaz","2016","120","Show Tv","Bi Yapim","Burak Sagyasar","Nuray Uslu","Bahadir Ince","50","50","40","Romantik","2017","1","31","1","5"
"No: 309","2016","120","Fox Tv","Gold Film","Faruk Turgut","Asli Zengin","Hasan Tolga Pulat","50","70","65","Komedi","2017","2","65","0","6"
"Anne","2016","120","Star Tv","MF Yapim","Fatih Aksoy","Berfu Ergenekon","Merve Girgin","85","75","60","Dram","2017","1","33","1","5"
"Hayatimin Aski","2016","120","Kanal D","LuckyRed","Sebnem Askin","Ekin Atalar","Baris Yos","50","60","60","Komedi","2016","1","17","1","3"
"Ates Bocegi","2017","120","Star Tv","Mia Yapim","Banu Akdeniz","Ebru Hacioglu","Baris Yos","40","35","25","Romantik komedi","2017","1","17","1","3"
"Bu Sehir Arkandan Gelecek","2017","100","Kanal D","Ay Yapim","Kerem Catay","Ece Yorenc","Cagri Vila Lostuvali","55","55","85","Dram","2017","1","20","0","4"
"Deli Gonul","2017","130","Fox Tv","25 Film","Firat Parlak","Rahsan Cigdem Inan","Levent Demirkale","70","30","20","Dram","2017","1","10","1","2"
"Fazilet Hanim ve Kizlari","2017","150","Star Tv","Avsar Film","Sukru Avsar","Sirma Yanik","Murat Saracoglu","70","65","60","Dram","2018","2","50","1","6"
"Dolunay","2017","120","Star Tv","No Dokuz Productions","Yagmur Unal","Ayse Gunsu Teker","Cagri Bayrak","55","65","40","Romantik komedi","2017","1","26","0","5"
"Cukur","2017","120","Show Tv","Ay Yapim","Kerem Catay","Gokhan Horzum","Sinan Ozturk","70","85","60","Aksiyon","2020","3","70","1","7"
"Bizim Hikaye","2017","120","Fox Tv","Med Yapim","Fatih Aksoy","Hatice Meryem","Serdar Gozelekli","50","60","75","Komedi","2019","2","70","1","6"
"Adi Efsane","2017","140","Kanal D","D Productions","Ayse Durmaz","Tunus Tasci","Selim Erkul","70","70","55","Dram","2017","1","29","1","5"
"Istanbullu Gelin","2017","120","Star Tv","O3 Medya","Onur Guvenatam","Tesrik-i Mesai","Zeynep Gunay Tan","70","70","80","Dram","2019","3","80","1","7"
"Kadin","2017","120","Fox Tv","Med Yapim","Fatih Aksoy","Hande Altayli","Merve Girgin","80","60","70","Dram","2020","4","112","0","7"
"Kalp Atisi","2017","120","Show Tv","MF Yapim","Faruk Bayhan","Makbule Kosif","Yusuf Pirhasan","65","45","70","Dram","2018","1","29","1","5"
"Kanatsiz Kuslar","2017","140","ATV","Koliba Film","Ata Turkoglu","Hakan Haksun","Kemal Uzun","40","45","40","Dram","2018","1","46","1","5"
"Iki Yalanci","2017","140","Kanal D","TukenmezKalem Film","Gani Mujde","Gani Mujde","Eda Teksoz","70","25","15","Komedi","2017","1","9","1","2"
"Savasci","2017","120","Fox Tv","Limon Film","Hayri Aslan ","Suleyman Cobanoglu","Volkan Kocaturk","65","75","80","Aksiyon","2019","3","70","1","7"
"Soz","2017","120","Star Tv","Tims Productions","Timur Savci","Ethem Ozisik","Yagiz Alp Akaydin","80","65","65","Aksiyon","2019","3","85","1","7"
"Sevkat Yerimdar","2017","90","Fox Tv","Limon Film","Hayri Aslan","Erol Hizarci","Bulent Isbilen","55","45","40","Komedi","2018","1","44","1","5"
"Ufak Tefek Cinayetler","2017","120","Star Tv","Ay Yapim","Kerem Catay","Meric Acemi","Ali Bilgin","70","70","70","Dram","2018","2","45","1","6"
"Payitaht: Abdulhamid","2017","130","TRT 1","ES Film","Yusuf Esenkal","Osman Bodur","Serdar Akar","85","75","85","Tarih","2019","3","75","1","6"
"Meryem","2017","130","Kanal D","TMC Film","Erol Avci","Meryem Gultabak","Mustafa Sevki Dogan","50","50","60","Dram","2018","1","30","1","5"
"Ver Elini Ask","2017","140","Kanal D","Salacak Yapim","Ayca Aral Sarangil","Ayse Ferda Eryilmaz","Bora Onur","30","35","20","Romantik komedi","2017","1","11","1","2"
"Yeni Gelin","2017","120","Show Tv","Surec Film","Ali Gundogdu","Ersoy Guler","Ersoy Guler","75","75","80","Komedi","2018","3","63","1","7"
"Mehmetcik Kut'ul Amare","2018","120","TRT 1","Tekden Film","Mehmet Bozdag","Mehmet Bozdag","Mustafa Sevki Dogan","55","70","65","Tarih","2018","1","19","0","3"
"Elimi Birakma","2018","120","TRT 1","Us Yapim","Sureyya Yasar Onal","Nilufer Aydin","Sadullah Celen","65","70","60","Dram","","","","",""
"Avlu","2018","120","Star Tv","Limon Production","Hayri Aslan","Mehmet Guzelbeyoglu","Yuksel Aksu","95","90","70","Dram","","","","",""
